model,rank,doc_index,cosine,anlamsal_1_5,yorum_metni
word2vec_lemmatized_cbow_win2_dim100,1,103,0.9998,5,"Premium features are good, but the price could be lower."
word2vec_lemmatized_cbow_win2_dim100,2,3,0.9998,5,"The price of premium is too high, could be better."
word2vec_lemmatized_cbow_win2_dim100,3,18,0.9998,5,The premium features are really helpful and the price is fair.
word2vec_lemmatized_cbow_win2_dim100,4,139,0.9997,4,"The premium features are helpful, but some are a bit buggy. Needs more polishing."
word2vec_lemmatized_cbow_win2_dim100,5,316,0.9997,5,"The new premium tools are helpful, but the subscription is a bit overpriced."
word2vec_lemmatized_skipgram_win2_dim100,1,103,0.9995,5,"Premium features are good, but the price could be lower."
word2vec_lemmatized_skipgram_win2_dim100,2,18,0.9991,5,The premium features are really helpful and the price is fair.
word2vec_lemmatized_skipgram_win2_dim100,3,309,0.9989,5,"Happy to pay for premium, the additional features are fantastic."
word2vec_lemmatized_skipgram_win2_dim100,4,139,0.9988,4,"The premium features are helpful, but some are a bit buggy. Needs more polishing."
word2vec_lemmatized_skipgram_win2_dim100,5,94,0.9987,5,"I'm happy with the premium features, they are definitely worth it."
word2vec_lemmatized_cbow_win4_dim100,1,103,0.9998,5,"Premium features are good, but the price could be lower."
word2vec_lemmatized_cbow_win4_dim100,2,3,0.9998,5,"The price of premium is too high, could be better."
word2vec_lemmatized_cbow_win4_dim100,3,18,0.9998,5,The premium features are really helpful and the price is fair.
word2vec_lemmatized_cbow_win4_dim100,4,139,0.9997,4,"The premium features are helpful, but some are a bit buggy. Needs more polishing."
word2vec_lemmatized_cbow_win4_dim100,5,172,0.9997,4,"The premium features are nice, but too pricey for my taste."
word2vec_lemmatized_skipgram_win4_dim100,1,103,0.9983,5,"Premium features are good, but the price could be lower."
word2vec_lemmatized_skipgram_win4_dim100,2,18,0.9972,5,The premium features are really helpful and the price is fair.
word2vec_lemmatized_skipgram_win4_dim100,3,309,0.9971,5,"Happy to pay for premium, the additional features are fantastic."
